ICD,SHORT_TITLE,LONG_TITLE,prevalence,AUC_WeightP2V,AUC_P2V,AUC_LR,AUC_RF
ICD_V1254,Hx TIA/stroke w/o resid,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",0.03338209868333555,0.6950048483895485,0.6281062452498887,0.6701917953018669,0.7186607306654087
ICD_34590,Epilep NOS w/o intr epil,"Epilepsy, unspecified, without mention of intractable epilepsy",0.03245112381965687,0.8710598058742418,0.722085409926189,0.8003556493840067,0.8876202020566155
ICD_30000,Anxiety state NOS,"Anxiety state, unspecified",0.03245112381965687,0.7169765408844708,0.6553704521489919,0.644129137789634,0.7062690948909056
ICD_V440,Tracheostomy status,Tracheostomy status,0.03245112381965687,0.8111786786110184,0.7694143782838706,0.8422792427833704,0.9057560675564849
ICD_2768,Hypopotassemia,Hypopotassemia,0.032318127410559915,0.6258194468227003,0.5950249641759568,0.5003651123387918,0.5794636983029767
ICD_V433,Heart valve replac NEC,Heart valve replaced by other means,0.032052134592366006,0.8429329645098212,0.7500614327339952,0.9019280339935365,0.9316659058546191
ICD_49121,Obs chr bronc w(ac) exac,Obstructive chronic bronchitis with (acute) exacerbation,0.03191913818326905,0.8799624542124542,0.8437234432234433,0.8023522206959707,0.84093211996337
ICD_5715,Cirrhosis of liver NOS,Cirrhosis of liver without mention of alcohol,0.031653145365075144,0.9209283163965943,0.8475811197865578,0.8548581860648682,0.9246449747160606
ICD_2639,Protein-cal malnutr NOS,Unspecified protein-calorie malnutrition,0.031121159728687325,0.655496198070999,0.6435850512984743,0.5059219061964052,0.6156574721219245
ICD_42732,Atrial flutter,Atrial flutter,0.030722170501396463,0.7521627427230403,0.6544972368371248,0.6686731140467088,0.6863174940383814
ICD_27800,Obesity NOS,"Obesity, unspecified",0.030456177683202555,0.7013669708355699,0.6256685155364704,0.6907370430011331,0.6876687541003161
ICD_25060,DMII neuro nt st uncntrl,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",0.0303231812741056,0.8514317540972562,0.7564333901126926,0.8200870215857802,0.8473539856223115
ICD_28529,Anemia-other chronic dis,Anemia of other chronic disease,0.02979119563771778,0.6391217301065163,0.6015040041510025,0.5057116668624687,0.6003038602365288
ICD_E8788,Abn react-surg proc NEC,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.02979119563771778,0.6211054981203008,0.5981195664943609,0.5544181498668547,0.592506290139411
ICD_E8782,Abn react-anastom/graft,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.02939220641042692,0.7205140739533724,0.7023170608262415,0.6551306170516914,0.6990730522246006
ICD_79092,Abnrml coagultion prfile,Abnormal coagulation profile,0.028993217183136057,0.6503210129686727,0.5755231066516903,0.6218959742083984,0.6510562645900708
ICD_5712,Alcohol cirrhosis liver,Alcoholic cirrhosis of liver,0.028860220774039103,0.9439771433740662,0.8895966669933335,0.8987738686648625,0.9518539598300327
ICD_2809,Iron defic anemia NOS,"Iron deficiency anemia, unspecified",0.028727224364942145,0.6839910145633037,0.6170936270333861,0.6087756328343678,0.6408198450367125
ICD_V103,Hx of breast malignancy,Personal history of malignant neoplasm of breast,0.028461231546748237,0.8125084746629962,0.6613002755384769,0.9288780697467963,0.9248874948512424
ICD_4148,Chr ischemic hrt dis NEC,Other specified forms of chronic ischemic heart disease,0.027663253092166513,0.8482836433260394,0.8129037093923581,0.7519938246928127,0.8001986986618415
ICD_78959,Ascites NEC,Other ascites,0.027663253092166513,0.8300257216798519,0.7994187636761488,0.7478620497391012,0.8234327659484936
ICD_V5865,Long-term use steroids,Long-term (current) use of steroids,0.02753025668306956,0.7899048981652921,0.6926935175054705,0.7057161041912137,0.7831035126662178
ICD_78551,Cardiogenic shock,Cardiogenic shock,0.02699827104668174,0.7093257860826124,0.7031628233578833,0.5757316759399221,0.6121317499115556
ICD_V422,Heart valve transplant,Heart valve replaced by transplant,0.026599281819390877,0.8558366120218579,0.8157024590163934,0.9003729508196721,0.9208065573770492
ICD_V441,Gastrostomy status,Gastrostomy status,0.026599281819390877,0.8261232240437159,0.7746928961748634,0.801672131147541,0.8682095628415301
ICD_25040,DMII renl nt st uncntrld,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",0.026466285410293923,0.8797139344262295,0.8235669398907104,0.7620341530054644,0.8502717213114754
ICD_5853,Chr kidney dis stage III,"Chronic kidney disease, Stage III (moderate)",0.02633328900119697,0.7656874674083087,0.6876793060349465,0.670370048477123,0.749022732101126
ICD_3004,Dysthymic disorder,Dysthymic disorder,0.02633328900119697,0.7453182466566788,0.6282800691978512,0.6996999495087449,0.7386776809338951
ICD_V4502,Status autm crd dfbrltr,Automatic implantable cardiac defibrillator in situ,0.026200292592100015,0.8733436523111475,0.7872480610530324,0.8385987711035513,0.9065583449904674
ICD_9971,Surg compl-heart,"Cardiac complications, not elsewhere classified",0.026200292592100015,0.690235598266191,0.6736838474888188,0.648777863309412,0.618783160752568
ICD_V4511,Renal dialysis status,Renal dialysis status,0.026067296183003057,0.9564799540788461,0.8985997949152353,0.8782820528539106,0.9412372239993758
ICD_07054,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma,0.026067296183003057,0.8995722756606739,0.8159158037873806,0.8357095487020586,0.9267584068034641
ICD_2948,Mental disor NEC oth dis,Other persistent mental disorders due to conditions classified elsewhere,0.025402314137518287,0.8115163300582242,0.7548722934861718,0.7581469762099708,0.757077732669214
ICD_78791,Diarrhea,Diarrhea,0.02513632131932438,0.6776422775902923,0.6401588281754864,0.5354929274071947,0.6190896819128312
ICD_5723,Portal hypertension,Portal hypertension,0.025003324910227425,0.9502243154461353,0.8999091711065454,0.8623669487295563,0.9445660816473401
ICD_V1046,Hx-prostatic malignancy,Personal history of malignant neoplasm of prostate,0.02487032850113047,0.7872407168808255,0.6495937365787977,0.872179371104224,0.8438623753641861
ICD_99811,Hemorrhage complic proc,Hemorrhage complicating a procedure,0.024737332092033514,0.6157290686183954,0.6014247971592025,0.5812943691335979,0.6061350727646461
ICD_27801,Morbid obesity,Morbid obesity,0.02460433568293656,0.8442405529116122,0.7257618808847289,0.821980846316024,0.8494921282815932
ICD_1983,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord,0.02433834286474265,0.8737628016689584,0.8274960291119435,0.8889384097482338,0.9220064245412736
ICD_5185,NA,NA,0.024205346455645697,0.5860125973780921,0.5832337463572133,0.5468558968967799,0.5734745222071469
ICD_56210,Dvrtclo colon w/o hmrhg,Diverticulosis of colon (without mention of hemorrhage),0.024205346455645697,0.6421883376911995,0.5801266327022664,0.6023495038621776,0.6387316962132988
ICD_51884,Acute & chronc resp fail,Acute and chronic respiratory failure,0.024072350046548743,0.7850835182805747,0.7644374159500897,0.6182558651487515,0.6977020118066725
ICD_1985,Secondary malig neo bone,Secondary malignant neoplasm of bone and bone marrow,0.024072350046548743,0.847646902021391,0.7707214290206931,0.8505931789660326,0.8773816262777833
ICD_56400,Constipation NOS,"Constipation, unspecified",0.023540364410160927,0.6548116271168802,0.6186003874889432,0.5751606120244002,0.6160501837970855
ICD_36201,Diabetic retinopathy NOS,Background diabetic retinopathy,0.023274371591967016,0.9321059863339276,0.8125099029510794,0.8385478560110913,0.9269100316894434
ICD_0414,NA,NA,0.02314137518287006,0.6447368338700239,0.6179514381116004,0.5080440993769383,0.593617294266017
ICD_2763,Alkalosis,Alkalosis,0.0227423859555792,0.6357065994860174,0.6248854299856945,0.5131052904761302,0.5987114038308161
ICD_99812,Hematoma complic proc,Hematoma complicating a procedure,0.0227423859555792,0.6248870124444557,0.6028088643009963,0.5435468914180097,0.5586058854806244
ICD_2800,Chr blood loss anemia,Iron deficiency anemia secondary to blood loss (chronic),0.022343396728288337,0.6538081636354215,0.6204294911653454,0.5779091533240065,0.6051827491061713
ICD_2765,NA,NA,0.022343396728288337,0.7790606054717861,0.7420070340432147,0.7774436175449505,0.720264003316234
ICD_1977,Second malig neo liver,"Malignant neoplasm of liver, secondary",0.022077403910094426,0.8533216903512882,0.7863446169775649,0.8215660029293131,0.8537941813487291
ICD_570,Acute necrosis of liver,Acute and subacute necrosis of liver,0.021944407500997472,0.620038926442785,0.6197178160561746,0.5595463168966319,0.6101806737420172
ICD_2869,Coagulat defect NEC/NOS,Other and unspecified coagulation defects,0.021944407500997472,0.6097519258431605,0.6077521945273615,0.5455563892775344,0.5915833035705509
ICD_99662,React-oth vasc dev/graft,"Infection and inflammatory reaction due to other vascular device, implant, and graft",0.021811411091900518,0.7161278664173265,0.6790398413772066,0.6509426517593072,0.6860636414276051
ICD_V1005,Hx of colonic malignancy,Personal history of malignant neoplasm of large intestine,0.021678414682803564,0.8046462817809255,0.6481488481279593,0.8789743564238253,0.8955200002652555
ICD_5601,Paralytic ileus,Paralytic ileus,0.021678414682803564,0.5947343466093715,0.6121934641042984,0.5550673748988714,0.5596891205453653
ICD_1970,Secondary malig neo lung,Secondary malignant neoplasm of lung,0.021412421864609656,0.8850167282440545,0.7967030090705002,0.8690428491370776,0.9119401407387273
ICD_28860,Leukocytosis NOS,"Leukocytosis, unspecified",0.0212794254555127,0.6103841711956521,0.5811205842391305,0.5369753736413043,0.6135366847826087
ICD_34982,Toxic encephalopathy,Toxic encephalopathy,0.021013432637318794,0.693452866069003,0.6858751233669992,0.5336887334550668,0.6448641501518231
ICD_71590,Osteoarthros NOS-unspec,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",0.021013432637318794,0.6991114137256318,0.6091826313020333,0.6829335726739088,0.7358615401015822
ICD_E8497,Accid in resident instit,Accidents occurring in residential institution,0.02088043622822184,0.584110674383337,0.5630521425451944,0.527919972214485,0.5928916536851915
ICD_E8781,Abn react-artif implant,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",0.020481447000930974,0.6580406289339225,0.6369355868134038,0.6094835520168129,0.6578191832603997
ICD_33829,Chronic pain NEC,Other chronic pain,0.02034845059183402,0.7579937304075235,0.705060809405094,0.6463770006805576,0.7557290252511539
ICD_78820,Retention urine NOS,"Retention of urine, unspecified",0.019816464955446204,0.6334274084124831,0.5853727725011307,0.5801034825870647,0.6072255088195386
ICD_V4364,Joint replaced hip,Hip joint replacement,0.019816464955446204,0.6639084577114428,0.5704741745816373,0.7130646766169154,0.7258927182270466
ICD_V153,Hx of irradiation,"Personal history of irradiation, presenting hazards to health",0.019550472137252296,0.754058086844305,0.6934936428560954,0.7333174465838601,0.7911054977929639
ICD_07070,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma,0.019417475728155338,0.9083191219798552,0.8079646741048705,0.8595184487518159,0.9246675657902069
ICD_49320,Chronic obst asthma NOS,"Chronic obstructive asthma, unspecified",0.019417475728155338,0.7924518207251692,0.6450940178561476,0.7651950020620395,0.7769016277108388
ICD_E9342,Adv eff anticoagulants,Anticoagulants causing adverse effects in therapeutic use,0.019018486500864476,0.6942188629790311,0.6010431730537479,0.5537497740419378,0.6510377124005784
ICD_04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,0.018619497273573614,0.5432458381726675,0.5446085946573751,0.561520325203252,0.6234655439411537
ICD_43310,Ocl crtd art wo infrct,Occlusion and stenosis of carotid artery without mention of cerebral infarction,0.018087511637185794,0.793191160537888,0.7403579281116563,0.7214362532662035,0.7328596010451851
ICD_34830,Encephalopathy NOS,"Encephalopathy, unspecified",0.01795451522808884,0.6675502676693645,0.6578699573003632,0.5367340354343254,0.6457340195016251
ICD_E9331,Adv eff antineoplastic,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,0.017821518818991886,0.8220259385444831,0.7705267327052794,0.7203705275410114,0.7628449951703707
ICD_V1011,Hx-bronchogenic malignan,Personal history of malignant neoplasm of bronchus and lung,0.017688522409894932,0.819778847436255,0.7335770376387761,0.8946611378525731,0.8736573024398722
ICD_3970,Tricuspid valve disease,Diseases of tricuspid valve,0.017688522409894932,0.7819747727649324,0.7358932389231746,0.6205176392610465,0.6531746224199878
ICD_6826,Cellulitis of leg,"Cellulitis and abscess of leg, except foot",0.017555526000797978,0.6495233876392512,0.579476546734262,0.5591965267181834,0.6705402700529934
ICD_51882,Other pulmonary insuff,"Other pulmonary insufficiency, not elsewhere classified",0.017422529591701024,0.6070302374038161,0.5891626060277928,0.512269486964939,0.5658836606454365
ICD_E8780,Abn react-org transplant,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.01728953318260407,0.9370717185385657,0.865173311127303,0.8604144894347872,0.9326890808785261
ICD_V462,Depend-supplement oxygen,"Other dependence on machines, supplemental oxygen",0.017023540364410162,0.8681386972402597,0.8186857413419913,0.7218673904220779,0.843212467870671
ICD_41519,Pulm embol/infarct NEC,Other pulmonary embolism and infarction,0.017023540364410162,0.5508970846861472,0.5124649113906926,0.593848079004329,0.5629286728896103
ICD_99674,Comp-oth vasc dev/graft,"Other complications due to other vascular device, implant, and graft",0.017023540364410162,0.6189021915584416,0.5871622192911256,0.5604766977813853,0.6107916497564935
ICD_V090,Inf mcrg rstn pncllins,Infection with microorganisms resistant to penicillins,0.017023540364410162,0.6632592667748918,0.6325668797348485,0.6288457961309524,0.6735541801948052
ICD_58381,Nephritis NOS in oth dis,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere",0.016890543955313208,0.8676800087932901,0.7803926542207792,0.7591667934929653,0.8618620637175325
ICD_V4365,Joint replaced knee,Knee joint replacement,0.016890543955313208,0.7693287506764069,0.6496829342532467,0.7938787286931818,0.8163348045183982
ICD_5722,Hepatic encephalopathy,Hepatic encephalopathy,0.016890543955313208,0.9269827178030303,0.8977251589556278,0.8529994419642858,0.9214695785984849
ICD_42830,Diastolc hrt failure NOS,"Diastolic heart failure, unspecified",0.016757547546216254,0.7154728630249323,0.6741682445225858,0.6487875196963647,0.6727226279566014
ICD_43889,Late effect CV dis NEC,Other late effects of cerebrovascular disease,0.016624551137119296,0.7288131518047666,0.6564404429159636,0.7195862368028989,0.7936243887150027
ICD_431,Intracerebral hemorrhage,Intracerebral hemorrhage,0.016491554728022342,0.7246070238489856,0.7072397459830073,0.6679190146373802,0.6421334984909018
ICD_51919,Trachea & bronch dis NEC,Other diseases of trachea and bronchus,0.01635855831892539,0.8688083358048815,0.8073928365812383,0.8096896317102531,0.8680928226242608
ICD_70722,"Pressure ulcer, stage II","Pressure ulcer, stage II",0.01635855831892539,0.6941659833563042,0.6333746227254488,0.5836498368778241,0.7316816849561227
ICD_04104,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",0.015959569091634526,0.6736927927927928,0.6667693693693694,0.5225648648648649,0.6605490990990991
ICD_99681,Compl kidney transplant,Complications of transplanted kidney,0.015959569091634526,0.9744112612612612,0.8970657657657657,0.8988936936936938,0.9655013513513513
ICD_9982,Accidental op laceration,"Accidental puncture or laceration during a procedure, not elsewhere classified",0.015560579864343662,0.6691366053151003,0.6611543375816888,0.5431912584322148,0.5666739177226494
ICD_5781,Blood in stool,Blood in stool,0.015560579864343662,0.6027670029630104,0.5780499086366946,0.5529272894636814,0.5301008889031366
