ICD,NAME,prevalence,AUC_WeightP2V,AUC_P2V,AUC_LR,AUC_RF
ICD_V16.3,Family history of malignant neoplasm of breast,0.0030890714821294675,0.5312094281264663,0.5293896425650932,0.6890884229526237,0.5818300110564502
ICD_V24.2,Routine postpartum follow-up,0.003057829292676831,0.984291481417349,0.9754481018910021,0.9820002997085736,0.9822537489153652
ICD_Z39.2,Encounter for routine postpartum follow-up,0.003057829292676831,0.9838034536916278,0.9742404897888833,0.9820002997085736,0.9822537489153652
ICD_R53.83,Other fatigue,0.003026587103224194,0.7705078134306931,0.7374836399921981,0.707539365984833,0.6636749574871997
ICD_R33.9,"Retention of urine, unspecified",0.0029680079980005,0.9133318607167183,0.8780363801585561,0.8504377114094734,0.8608647379305909
ICD_V12.69,"Personal history, Other diseases of respiratory system",0.00296410272431892,0.5940333395590925,0.5966046667631454,0.639612545440827,0.582840434615716
ICD_428.0,"Congestive heart failure, unspecified",0.002885997250687328,0.8931369858692576,0.8721557135964599,0.8343324326653091,0.788561116673099
ICD_238.2,Neoplasm of uncertain behavior of skin,0.002878186703324169,0.8285173207039752,0.8268001203871544,0.8041104681632103,0.7303033946494372
ICD_706.1,Other acne,0.0028625656085978506,0.8494784671224228,0.8203467977216263,0.8310344525102137,0.7312953213961618
ICD_D48.5,Neoplasm of uncertain behavior of skin-D48.5,0.0028352286928267933,0.8322406381153468,0.8298876331954057,0.8073514052469576,0.7409197881220349
ICD_784.0,Headache,0.002827418145463634,0.7404806525975333,0.6655612601029848,0.7233580337255883,0.6494741990637983
ICD_R51,Headache-R51,0.0028235128717820543,0.7363063106220318,0.6710076564629971,0.7165316857456174,0.6435974981620362
ICD_599.0,"Urinary tract infection, site not specified",0.002815702324418895,0.8101574147152354,0.7844452192156529,0.7186988138233031,0.6898975022386833
ICD_789.00,"Abdominal pain, unspecified site",0.002815702324418895,0.778156960035576,0.7144323755350231,0.7393680312900144,0.6623210290080241
ICD_N39.0,"Urinary tract infection, site not specified-N39.0",0.002811797050737316,0.8066008970034324,0.7805361721181361,0.7168245604187118,0.6849518579728611
ICD_R07.89,Other chest pain-R07.89,0.0027805548612846787,0.843191293375683,0.8252136354803996,0.8053851022479303,0.7249325891978678
ICD_V04.81,"Need for prophylactic vaccination and inoculation, Influenza",0.002721975756060985,0.8633837866566898,0.855609905148177,0.7967478878057568,0.7370884774724564
ICD_V17.2,Family history of other neurological diseases,0.0027141652086978257,0.5506808646818072,0.5385442330915836,0.6970017562977137,0.5715115142824093
ICD_786.59,"Chest pain, other",0.002710259935016246,0.8427101299250599,0.818190571424928,0.800946312966923,0.7255817207760588
ICD_K59.00,"Constipation, unspecified",0.0026868282929267684,0.7491648065123856,0.7295625793176099,0.7117111312749245,0.6596131759390258
ICD_Z01.818,Encounter for other preprocedural examination,0.002643870282429393,0.7599021383762519,0.7118076801690324,0.727235156520245,0.6635908608582289
ICD_724.4,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",0.0026243439140214947,0.866634906433285,0.8447445239176675,0.8042403931994737,0.7710859258931927
ICD_V12.09,Personal history of other infectious and parasitic disease,0.0026126280929767557,0.6649946714297703,0.6692022876735992,0.662169584815667,0.585442535478413
ICD_V16.0,Family history of malignant neoplasm of gastrointestinal tract,0.002600912271932017,0.5264800176334331,0.5294402210415649,0.6490645172616057,0.5451153633684429
ICD_Z80.0,Family history of malignant neoplasm of digestive organs,0.002600912271932017,0.5111357655590578,0.5163659936336308,0.6490645172616057,0.5451153633684429
ICD_V45.86,Bariatric surgery status,0.0025970069982504374,0.9738311592720362,0.9685646398160102,0.9608980201814972,0.964505788482296
ICD_Z98.84,Bariatric surgery status-Z98.84,0.0025970069982504374,0.9734338669131152,0.9674989029750188,0.9608980201814972,0.964505788482296
ICD_327.23,Obstructive sleep apnea (adult) (pediatric),0.0025852911772056984,0.8091130336060933,0.7783720308137653,0.8151562002923606,0.7585369084992746
ICD_401.1,"Essential hypertension, benign",0.002581385903524119,0.6528282896723163,0.6816118563606425,0.7238492693596842,0.6196988660486525
ICD_M25.519,Pain in unspecified shoulder,0.002581385903524119,0.8548661486776167,0.8462671094964717,0.8441349883634393,0.795036173008715
ICD_782.0,Disturbance of skin sensation,0.00257357535616096,0.7932369377905505,0.7678119044686783,0.724415773911009,0.6719002211333637
ICD_G47.33,Obstructive sleep apnea (adult) (pediatric)-G47.33,0.00257357535616096,0.8119113715322888,0.7748017665990619,0.7968190372595124,0.747297863722145
ICD_R06.02,Shortness of breath-R06.02,0.0025657648087978008,0.7967895672306038,0.7935115127554659,0.7442349490948579,0.6605214932822425
ICD_786.05,Shortness of breath,0.0025657648087978008,0.797646395244931,0.7901026895021485,0.7442349490948579,0.6605214932822425
ICD_780.4,Dizziness and giddiness,0.0025149962509372656,0.7518716341517151,0.7191353906925191,0.7071542304454337,0.5939542130340917
ICD_R42,Dizziness and giddiness-R42,0.0024954698825293675,0.758780684033732,0.7258459030208358,0.7177983251509243,0.5928301469897347
ICD_J06.9,"Acute upper respiratory infection, unspecified",0.0024759435141214698,0.8483916167343717,0.8428633401139243,0.7903295475891399,0.7142152448811807
ICD_305.90,"Other, mixed, or unspecified nondependent drug abuse, unspecified",0.00247203824043989,0.6081456658617459,0.6046346373998381,0.7167338998307858,0.5772774159899138
ICD_V72.84,Unspecified pre-operative examination,0.00247203824043989,0.7567885661729944,0.7147584106415922,0.7467048537206912,0.6598725207832481
ICD_465.9,Acute upper respiratory infections of unspecified site,0.00247203824043989,0.8493791281582668,0.8465513635191961,0.7958965021267119,0.7138630955927154
ICD_V12.49,Other disorders of nervous system and sense organs,0.002460322419395151,0.5649649653232576,0.56958686063221875,0.6266030264581749,0.5374963445345619
ICD_C61,Malignant neoplasm of prostate-C61,0.0024486065983504125,0.8553784873969194,0.7655623888290192,0.8631099533146089,0.8398048951312951
ICD_185,Malignant neoplasm of prostate,0.0024486065983504125,0.8538805208468452,0.7786690432015786,0.8631099533146089,0.8398048951312951
ICD_788.21,Incomplete bladder emptying,0.0024290802299425144,0.9197877553190635,0.8767463450465571,0.8746128059324245,0.8644684450992971
ICD_F19.90,"Other psychoactive substance use, unspecified, uncomplicated",0.002413459135216196,0.6062891765140921,0.6066012115062819,0.7171733748146873,0.5774351184286931
ICD_Z86.69,Personal history of other diseases of the nervous system and sense organs,0.002405648587853037,0.5812363697575169,0.5784112795772703,0.6132169756662804,0.5400512473730897
ICD_M54.2,Cervicalgia-M54.2,0.002311922019495126,0.7901331520543214,0.7371058064860125,0.7313495613418892,0.6686970825807959
ICD_723.1,Cervicalgia,0.002311922019495126,0.7875587307182551,0.7372933157957544,0.7313495613418892,0.6686970825807959
ICD_607.84,Impotence of organic origin,0.0022884903774056486,0.854544765941923,0.7342837879724193,0.8016169756553779,0.7738821536352107
ICD_Z82.0,Family history of epilepsy and other diseases of the nervous system,0.002222100724818795,0.5682062629881527,0.5471207871417907,0.6876193783924381,0.5690628809240121
ICD_788.41,Urinary frequency,0.0021869532616845787,0.840221148340982,0.7643932580311854,0.7886622630453647,0.7300891375477487
ICD_R35.0,Frequency of micturition,0.0021869532616845787,0.8443837558036553,0.771928015664278,0.7886622630453647,0.7300891375477487
ICD_V17.1,Family history of stroke (cerebrovascular),0.002147900524868783,0.530679464637056,0.5504349806130531,0.6525939030560147,0.561153775598135
ICD_424.0,Mitral valve disorders,0.002136184703824044,0.8556051845562553,0.8584184078793883,0.8186194918888968,0.6788524590351256
ICD_N52.9,"Male erectile dysfunction, unspecified",0.0021283741564608848,0.8667987882499466,0.7605715042628004,0.8045596367731621,0.7699759507868462
ICD_Z72.89,Other problems related to lifestyle-Z72.89,0.002124468882779305,0.5006589100887694,0.551000667036539,0.7076644800453056,0.5968861220717153
ICD_M54.16,"Radiculopathy, lumbar region",0.0021127530617345664,0.8712341056661456,0.852270356707418,0.8260672158466235,0.7705947653706433
ICD_Z86.19,Personal history of other infectious and parasitic diseases,0.0020893214196450885,0.6371622720351204,0.6313932207626992,0.6594008443673699,0.5646625830655746
ICD_Z83.49,"Family history of other endocrine, nutritional and metabolic diseases-Z83.49",0.002065889777555611,0.5631186803203447,0.557221367029628,0.73299189686968,0.5975868023764771
ICD_M81.0,Age-related osteoporosis w/out current pathological fracture,0.0020229317670582355,0.8170321177998856,0.7714544770472079,0.7937601544631199,0.6986236389842786
ICD_781.2,Abnormality of gait,0.001995594851287178,0.787468600692026,0.7601055757785047,0.7343813281635193,0.6595971582816156
ICD_Z82.3,Family history of stroke,0.0019721632091977007,0.5317996377172475,0.5556470390994402,0.6636873498608342,0.5635626635948521
ICD_G47.00,"Insomnia, unspecified-G47.00",0.001968257935516121,0.7398918310737453,0.6939652353872107,0.6945784421140502,0.5990793793648308
ICD_278.02,Overweight,0.001968257935516121,0.7283745872742585,0.7025768247508739,0.7254574734104003,0.6369999124238833
ICD_E66.3,Overweight-E66.3,0.001968257935516121,0.7282941228351308,0.704847872210918,0.7254574734104003,0.6369999124238833
ICD_216.9,"Benign neoplasm of skin, site unspecified",0.001948731567108223,0.8170474319745193,0.7980480220373602,0.7632931986257954,0.6517601684105084
ICD_L70.9,"Acne, unspecified",0.0019331104723819045,0.8498939972256828,0.81537409736869,0.8351160309592599,0.7114380789557055
ICD_780.93,Memory loss,0.0018745313671582105,0.8966868035557781,0.8441387404271524,0.8294522968313092,0.787633344940737
ICD_M17.10,"Unilateral primary osteoarthritis, unspecified knee",0.001858910272431892,0.8597560734233127,0.8317934502783695,0.8105933419895964,0.7596901289272928
ICD_174.9,"Malignant neoplasm of breast (female), unspecified site",0.001858910272431892,0.7967879339162304,0.7148394251357522,0.8093303981999392,0.7567500801907692
ICD_G62.9,"Polyneuropathy, unspecified",0.0018471944513871533,0.8590035734694785,0.8427618489541546,0.7849769305326144,0.7432658200114026
ICD_719.45,"Pain in joint, pelvic region and thigh",0.0018432891777055737,0.7782020245720006,0.7309860696947624,0.7122438217211647,0.6431304479703086
ICD_Z87.39,Personal history of other diseases of the musculoskeletal system and connective tissue,0.0018393839040239941,0.5729717933221158,0.5820581316529141,0.61855118014892,0.5376037281318637
ICD_I35.0,Nonrheumatic aortic (valve) stenosis,0.001819857535616096,0.9007335956439375,0.8883960854973209,0.8571392369193483,0.7759144750069743
ICD_380.4,Impacted cerumen,0.001819857535616096,0.8271501080005361,0.8018944784102531,0.7657980257154753,0.7342247467665409
ICD_780.52,"Insomnia, unspecified",0.0018042364408897775,0.7573992893646104,0.7206895995739588,0.6697862826578564,0.5942503041203364
ICD_599.72,Microscopic hematuria,0.001769088977755561,0.8272270210473872,0.7836326857177051,0.8143745018003263,0.7708776883135308
ICD_R31.29,Other microscopic hematuria-R31.29,0.001769088977755561,0.8332538867933165,0.7815390217317947,0.8143745018003263,0.7708776883135308
ICD_285.9,Unspecified anemia,0.0017651837040739814,0.755379464783392,0.7098879157140683,0.6898662990187423,0.6099799350204312
ICD_472.0,Chronic rhinitis,0.0017651837040739814,0.8592699229293734,0.8386121131598929,0.7951123757952283,0.7023360038631561
ICD_J31.0,Chronic rhinitis-J31.0,0.0017612784303924019,0.8604113184765386,0.841442690378489,0.8009421492902289,0.719510658043506
ICD_794.31,Nonspecific abnormal electrocardiogram (ECG) (EKG),0.0017573731567108223,0.8604177931481757,0.8395489205512131,0.8402401259538036,0.6973902872647386
ICD_R94.31,Abnormal electrocardiogram [ECG] [EKG],0.0017573731567108223,0.8613594247576424,0.8396517352987969,0.8402401259538036,0.6973902872647386
ICD_356.9,Unspecified hereditary and idiopathic peripheral neuropathy,0.0017495626093476631,0.864988456457007,0.8416078498327849,0.7943312185074487,0.7438762182056566
ICD_R41.3,Other amnesia,0.0017495626093476631,0.8954434616489466,0.8402561920447635,0.8363831391618678,0.7763444273553186
ICD_D64.9,"Anemia, unspecified",0.0017261309672581854,0.7546855118475806,0.7172112378462103,0.6958830259513208,0.6061578197813365
ICD_474.10,Hypertrophy of tonsil with adenoids,0.0017066045988502875,0.9694141701200653,0.9728823197921809,0.9586895247967705,0.9300751670181692
ICD_J35.3,Hypertrophy of tonsils with hypertrophy of adenoids,0.0017066045988502875,0.969859119626815,0.9724234981011577,0.9586895247967705,0.9300751670181692
ICD_C50.919,Malignant neoplasm of unspecified site of unspecified female breast,0.0017026993251687077,0.7854436090689696,0.6971834753281827,0.8199978308502479,0.7633059679755401
ICD_V13.3,Personal history of diseases of skin and subcutaneous tissue,0.001690983504123969,0.7658459135814185,0.7571035365065392,0.736846522463599,0.6216093504516429
ICD_I34.0,Nonrheumatic mitral (valve) insufficiency,0.0016831729567608098,0.8731682361848928,0.8852972920775912,0.8391532859913435,0.6940583202141719
ICD_M19.90,"Unspecified osteoarthritis, unspecified site",0.001671457135716071,0.7186986592940342,0.6724513776378592,0.695375598306178,0.6006872176457676
ICD_790.29,Other abnormal glucose,0.0016675518620344913,0.7535800514644211,0.7090175886126359,0.7144121729375936,0.6135365626905394
ICD_782.3,Edema,0.0016558360409897525,0.7881980039737484,0.7480684290703613,0.656469807187584,0.5899356959816723
ICD_724.5,Unspecified backache,0.0016558360409897525,0.7216419205368398,0.6779903822592502,0.669805899658423,0.5721467283001155
ICD_M54.9,"Dorsalgia, unspecified",0.0016558360409897525,0.7224922724468076,0.6833670358965881,0.6702461340092052,0.5771032119165218
ICD_462,Acute pharyngitis,0.0016402149462634342,0.823165965170315,0.8045702915736244,0.7695775188860103,0.6606681575792527
ICD_N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms,0.0016324043989002749,0.8274832007343288,0.7610466693869854,0.7699435751598344,0.639122606256476
ICD_I50.9,"Heart failure, unspecified",0.0016324043989002749,0.9003978774926018,0.8619888701507733,0.8259502046920669,0.7399677454698028
ICD_J44.9,"Chronic obstructive pulmonary disease, unspecified",0.0016245938515371157,0.8385804256393405,0.7995274339055143,0.7853902819802709,0.687137914843246
ICD_Z87.2,Personal history of diseases of the skin and subcutaneous tissue,0.0016167833041739565,0.7521015239169645,0.7466670294815432,0.7236684665685933,0.6226530573294746
ICD_N20.0,Calculus of kidney-N20.0,0.0016167833041739565,0.83546323050744,0.7884455857995769,0.806259440981641,0.7787843320663158
ICD_J02.9,"Acute pharyngitis, unspecified",0.001612878030492377,0.8334782351703792,0.811168567688368,0.7746289661119196,0.6651399838442823
ICD_592.0,Calculus of kidney,0.001612878030492377,0.8312149796624956,0.756322423046244,0.8191295481606904,0.7656790658436577
ICD_737.30,"Scoliosis (and kyphoscoliosis), idiopathic",0.0016050674831292178,0.7748956094405812,0.8034733230539668,0.8202393351572488,0.7549240968204828
ICD_733.90,"Disorder of bone and cartilage, unspecified",0.001601162209447638,0.7443789099863821,0.6669233168991551,0.7035329762577355,0.5926418766827957
ICD_Z80.8,Family history of malignant neoplasm of other organs or systems,0.0015777305673581605,0.633607018293944,0.6289285932817642,0.7206122689246159,0.5906647403768774
ICD_496,"Chronic airway obstruction, not elsewhere classified",0.0015777305673581605,0.8459265709485757,0.7973672645368268,0.7824400483934805,0.6871018207195044
ICD_715.36,"Localized osteoarthrosis not specified whether primary or secondary, lower leg",0.001573825293676581,0.860081623858109,0.8343418572990592,0.8127793340387304,0.7652659246649216
ICD_706.2,Sebaceous cyst,0.0015699200199950014,0.8259659140288264,0.7974128777224563,0.7912653954531307,0.6610907373778758
ICD_D22.9,"Melanocytic nevi, unspecified",0.001562109472631842,0.8004655485324489,0.787838166499781,0.7697673704549721,0.6294637844984041
ICD_L82.1,Other seborrheic keratosis-L82.1,0.0015542989252686828,0.836035103430917,0.8277058632598034,0.7855373768705064,0.6823812765768089
ICD_729.1,Unspecified myalgia and myositis,0.0015503936515871032,0.8048855484141927,0.7444618700304093,0.7099291142572383,0.6276675710797365
ICD_V16.8,Family history of other specified malignant neoplasm,0.001542583104223944,0.6367619046490247,0.6260740032230626,0.7171963622614853,0.5817036678831179
ICD_N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms,0.001542583104223944,0.9201112979839463,0.8961282990660704,0.855667860993476,0.8091280268559574
ICD_J30.1,Allergic rhinitis due to pollen-J30.1,0.0015386778305423645,0.8542108948738052,0.8583234376324652,0.828786306269245,0.7520797172910274
ICD_702.19,Other seborrheic keratosis,0.0015191514621344664,0.8409658297500724,0.8350112863195045,0.7897529445319618,0.6706794456605937
ICD_733.00,Unspecified osteoporosis,0.0015074356410897276,0.7800425908121886,0.7281888525021778,0.757283787205304,0.6098922515354582
ICD_R21,Rash and other nonspecific skin eruption-R21,0.001503530367408148,0.7441869005622312,0.7139816366961292,0.6849432499821668,0.5899579380313474
ICD_600.00,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptoms [LUTS],0.0014957198200449887,0.8160423193328692,0.7452260156170556,0.7617037064921791,0.6416302363222023
ICD_782.1,Rash and other nonspecific skin eruption,0.001491814546363409,0.7488936088844983,0.71336627210068,0.6874335556958823,0.5830845179042963
ICD_788.1,Dysuria,0.001491814546363409,0.8063778627828392,0.769071647450156,0.7573651145764304,0.6934769265699855
