ICD,num_pts_last_visit,if_last_then_num_pts_prev_visits,if_last_then_num_seq_prev_visits,SHORT_TITLE,LONG_TITLE
ICD_311,652,255,392,Depressive disorder NEC,"Depressive disorder, not elsewhere classified"
ICD_5070,621,170,223,Food/vomit pneumonitis,Pneumonitis due to inhalation of food or vomitus
ICD_78552,619,106,125,Septic shock,Septic shock
ICD_V4582,613,291,397,Status-post ptca,Percutaneous transluminal coronary angioplasty status
ICD_40391,612,389,766,Hyp kid NOS w cr kid V,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
ICD_V5867,601,276,453,Long-term use of insulin,Long-term (current) use of insulin
ICD_2761,576,131,159,Hyposmolality,Hyposmolality and/or hyponatremia
ICD_V1582,545,179,212,History of tobacco use,Personal history of tobacco use
ICD_2875,535,131,174,Thrombocytopenia NOS,"Thrombocytopenia, unspecified"
ICD_5856,526,336,809,End stage renal disease,End stage renal disease
ICD_32723,494,302,546,Obstructive sleep apnea,Obstructive sleep apnea (adult)(pediatric)
ICD_5119,484,99,121,Pleural effusion NOS,Unspecified pleural effusion
ICD_41400,451,128,175,Cor ath unsp vsl ntv/gft,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
ICD_V1251,437,161,267,Hx-ven thrombosis/embols,Personal history of venous thrombosis and embolism
ICD_4168,434,174,296,Chr pulmon heart dis NEC,Other chronic pulmonary heart diseases
ICD_2767,432,105,166,Hyperpotassemia,Hyperpotassemia
ICD_5845,429,67,75,"Ac kidny fail, tubr necr",Acute kidney failure with lesion of tubular necrosis
ICD_2760,418,91,129,Hyperosmolality,Hyperosmolality and/or hypernatremia
ICD_2749,406,236,332,Gout NOS,"Gout, unspecified"
ICD_3051,402,209,285,Tobacco use disorder,Tobacco use disorder
ICD_V4986,398,67,81,Do not resusctate status,Do not resuscitate status
ICD_4240,395,167,210,Mitral valve disorder,Mitral valve disorders
ICD_4589,380,57,66,Hypotension NOS,"Hypotension, unspecified"
ICD_41071,370,88,93,"Subendo infarct, initial","Subendocardial infarction, initial episode of care"
ICD_70703,369,117,187,"Pressure ulcer, low back","Pressure ulcer, lower back"
ICD_42789,364,70,92,Cardiac dysrhythmias NEC,Other specified cardiac dysrhythmias
ICD_00845,359,78,95,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
ICD_42833,355,105,155,Ac on chr diast hrt fail,Acute on chronic diastolic heart failure
ICD_28521,345,148,271,Anemia in chr kidney dis,Anemia in chronic kidney disease
ICD_73300,329,200,311,Osteoporosis NOS,"Osteoporosis, unspecified"
ICD_4254,328,178,302,Prim cardiomyopathy NEC,Other primary cardiomyopathies
ICD_42822,327,102,149,Chr systolic hrt failure,Chronic systolic heart failure
ICD_3572,314,185,383,Neuropathy in diabetes,Polyneuropathy in diabetes
ICD_V4501,314,170,239,Status cardiac pacemaker,Cardiac pacemaker in situ
ICD_49390,313,197,294,Asthma NOS,"Asthma, unspecified type, unspecified"
ICD_4439,305,113,155,Periph vascular dis NOS,"Peripheral vascular disease, unspecified"
ICD_45829,300,34,34,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension
ICD_42832,299,95,147,Chr diastolic hrt fail,Chronic diastolic heart failure
ICD_5180,293,45,49,Pulmonary collapse,Pulmonary collapse
ICD_5789,292,40,45,Gastrointest hemorr NOS,"Hemorrhage of gastrointestinal tract, unspecified"
ICD_E8798,291,46,58,Abn react-procedure NEC,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
ICD_4241,288,162,211,Aortic valve disorder,Aortic valve disorders
ICD_4271,284,77,102,Parox ventric tachycard,Paroxysmal ventricular tachycardia
ICD_99591,279,32,37,Sepsis,Sepsis
ICD_78039,275,102,150,Convulsions NEC,Other convulsions
ICD_99859,273,44,51,Other postop infection,Other postoperative infection
ICD_42823,270,95,135,Ac on chr syst hrt fail,Acute on chronic systolic heart failure
ICD_7907,270,32,41,Bacteremia,Bacteremia
ICD_27652,269,17,19,Hypovolemia,Hypovolemia
ICD_V667,269,4,4,Encountr palliative care,Encounter for palliative care
ICD_60000,265,124,157,BPH w/o urinary obs/LUTS,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
ICD_27651,262,33,41,Dehydration,Dehydration
ICD_2930,257,29,32,Delirium d/t other cond,Delirium due to conditions classified elsewhere
ICD_79902,253,32,44,Hypoxemia,Hypoxemia
ICD_4275,253,15,15,Cardiac arrest,Cardiac arrest
ICD_V1254,251,78,92,Hx TIA/stroke w/o resid,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
ICD_34590,244,115,198,Epilep NOS w/o intr epil,"Epilepsy, unspecified, without mention of intractable epilepsy"
ICD_30000,244,69,92,Anxiety state NOS,"Anxiety state, unspecified"
ICD_V440,244,83,143,Tracheostomy status,Tracheostomy status
ICD_2768,243,32,34,Hypopotassemia,Hypopotassemia
ICD_V433,241,93,157,Heart valve replac NEC,Heart valve replaced by other means
ICD_49121,240,116,208,Obs chr bronc w(ac) exac,Obstructive chronic bronchitis with (acute) exacerbation
ICD_5715,238,171,238,Cirrhosis of liver NOS,Cirrhosis of liver without mention of alcohol
ICD_2639,234,37,43,Protein-cal malnutr NOS,Unspecified protein-calorie malnutrition
ICD_42732,231,85,111,Atrial flutter,Atrial flutter
ICD_27800,229,73,88,Obesity NOS,"Obesity, unspecified"
ICD_25060,228,114,204,DMII neuro nt st uncntrl,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
ICD_28529,224,36,58,Anemia-other chronic dis,Anemia of other chronic disease
ICD_E8788,224,27,28,Abn react-surg proc NEC,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
ICD_E8782,221,30,36,Abn react-anastom/graft,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
ICD_79092,218,31,36,Abnrml coagultion prfile,Abnormal coagulation profile
ICD_5712,217,158,264,Alcohol cirrhosis liver,Alcoholic cirrhosis of liver
ICD_2809,216,59,91,Iron defic anemia NOS,"Iron deficiency anemia, unspecified"
ICD_V103,214,170,232,Hx of breast malignancy,Personal history of malignant neoplasm of breast
ICD_4148,208,67,98,Chr ischemic hrt dis NEC,Other specified forms of chronic ischemic heart disease
ICD_78959,208,66,86,Ascites NEC,Other ascites
ICD_V5865,207,75,111,Long-term use steroids,Long-term (current) use of steroids
ICD_78551,203,20,21,Cardiogenic shock,Cardiogenic shock
ICD_V422,200,63,89,Heart valve transplant,Heart valve replaced by transplant
ICD_V441,200,62,92,Gastrostomy status,Gastrostomy status
ICD_25040,199,90,149,DMII renl nt st uncntrld,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
ICD_5853,198,41,52,Chr kidney dis stage III,"Chronic kidney disease, Stage III (moderate)"
ICD_3004,198,73,120,Dysthymic disorder,Dysthymic disorder
ICD_V4502,197,98,161,Status autm crd dfbrltr,Automatic implantable cardiac defibrillator in situ
ICD_9971,197,30,31,Surg compl-heart,"Cardiac complications, not elsewhere classified"
ICD_V4511,196,95,188,Renal dialysis status,Renal dialysis status
ICD_07054,196,112,196,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma
ICD_2948,191,68,93,Mental disor NEC oth dis,Other persistent mental disorders due to conditions classified elsewhere
ICD_78791,189,23,27,Diarrhea,Diarrhea
ICD_5723,188,94,134,Portal hypertension,Portal hypertension
ICD_V1046,187,119,173,Hx-prostatic malignancy,Personal history of malignant neoplasm of prostate
ICD_99811,186,17,19,Hemorrhage complic proc,Hemorrhage complicating a procedure
ICD_27801,185,116,215,Morbid obesity,Morbid obesity
ICD_1983,183,109,129,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord
ICD_5185,182,17,17,,
ICD_56210,182,31,37,Dvrtclo colon w/o hmrhg,Diverticulosis of colon (without mention of hemorrhage)
ICD_51884,181,39,56,Acute & chronc resp fail,Acute and chronic respiratory failure
ICD_1985,181,96,118,Secondary malig neo bone,Secondary malignant neoplasm of bone and bone marrow
ICD_56400,177,24,26,Constipation NOS,"Constipation, unspecified"
ICD_36201,175,107,224,Diabetic retinopathy NOS,Background diabetic retinopathy
ICD_0414,174,19,20,,
ICD_2763,171,15,18,Alkalosis,Alkalosis
ICD_99812,171,22,23,Hematoma complic proc,Hematoma complicating a procedure
ICD_2800,168,25,30,Chr blood loss anemia,Iron deficiency anemia secondary to blood loss (chronic)
ICD_2765,168,31,33,,
ICD_1977,166,75,84,Second malig neo liver,"Malignant neoplasm of liver, secondary"
ICD_570,165,14,14,Acute necrosis of liver,Acute and subacute necrosis of liver
ICD_2869,165,11,11,Coagulat defect NEC/NOS,Other and unspecified coagulation defects
ICD_99662,164,38,54,React-oth vasc dev/graft,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
ICD_V1005,163,105,149,Hx of colonic malignancy,Personal history of malignant neoplasm of large intestine
ICD_5601,163,8,12,Paralytic ileus,Paralytic ileus
ICD_1970,161,85,107,Secondary malig neo lung,Secondary malignant neoplasm of lung
ICD_28860,160,16,19,Leukocytosis NOS,"Leukocytosis, unspecified"
ICD_34982,158,13,14,Toxic encephalopathy,Toxic encephalopathy
ICD_71590,158,63,81,Osteoarthros NOS-unspec,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
ICD_E8497,157,17,23,Accid in resident instit,Accidents occurring in residential institution
ICD_E8781,154,17,22,Abn react-artif implant,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
ICD_33829,153,39,73,Chronic pain NEC,Other chronic pain
ICD_78820,149,29,33,Retention urine NOS,"Retention of urine, unspecified"
ICD_V4364,149,62,73,Joint replaced hip,Hip joint replacement
ICD_V153,147,46,56,Hx of irradiation,"Personal history of irradiation, presenting hazards to health"
ICD_07070,146,69,107,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma
ICD_49320,146,53,65,Chronic obst asthma NOS,"Chronic obstructive asthma, unspecified"
ICD_E9342,143,24,26,Adv eff anticoagulants,Anticoagulants causing adverse effects in therapeutic use
ICD_04111,140,17,17,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
ICD_43310,136,45,47,Ocl crtd art wo infrct,Occlusion and stenosis of carotid artery without mention of cerebral infarction
ICD_34830,135,6,6,Encephalopathy NOS,"Encephalopathy, unspecified"
ICD_E9331,134,33,42,Adv eff antineoplastic,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use
ICD_V1011,133,68,104,Hx-bronchogenic malignan,Personal history of malignant neoplasm of bronchus and lung
ICD_3970,133,28,41,Tricuspid valve disease,Diseases of tricuspid valve
ICD_6826,132,29,35,Cellulitis of leg,"Cellulitis and abscess of leg, except foot"
ICD_51882,131,6,6,Other pulmonary insuff,"Other pulmonary insufficiency, not elsewhere classified"
ICD_E8780,130,47,89,Abn react-org transplant,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
ICD_V462,128,43,74,Depend-supplement oxygen,"Other dependence on machines, supplemental oxygen"
ICD_41519,128,22,22,Pulm embol/infarct NEC,Other pulmonary embolism and infarction
ICD_99674,128,17,18,Comp-oth vasc dev/graft,"Other complications due to other vascular device, implant, and graft"
ICD_V090,128,29,32,Inf mcrg rstn pncllins,Infection with microorganisms resistant to penicillins
ICD_58381,127,54,97,Nephritis NOS in oth dis,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
ICD_V4365,127,67,79,Joint replaced knee,Knee joint replacement
ICD_5722,127,48,60,Hepatic encephalopathy,Hepatic encephalopathy
ICD_42830,126,33,43,Diastolc hrt failure NOS,"Diastolic heart failure, unspecified"
ICD_43889,125,39,60,Late effect CV dis NEC,Other late effects of cerebrovascular disease
ICD_431,124,23,24,Intracerebral hemorrhage,Intracerebral hemorrhage
ICD_51919,123,64,119,Trachea & bronch dis NEC,Other diseases of trachea and bronchus
ICD_70722,123,18,20,"Pressure ulcer, stage II","Pressure ulcer, stage II"
ICD_04104,120,8,8,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
ICD_99681,120,78,182,Compl kidney transplant,Complications of transplanted kidney
ICD_9982,117,8,8,Accidental op laceration,"Accidental puncture or laceration during a procedure, not elsewhere classified"
ICD_5781,117,9,9,Blood in stool,Blood in stool
ICD_03811,117,11,12,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia
ICD_48241,116,21,24,Meth sus pneum d/t Staph,Methicillin susceptible pneumonia due to Staphylococcus aureus
ICD_3659,116,64,79,Glaucoma NOS,Unspecified glaucoma
ICD_51889,115,24,38,Other lung disease NEC,"Other diseases of lung, not elsewhere classified"
ICD_1120,114,9,10,Thrush,Candidiasis of mouth
ICD_4928,114,47,53,Emphysema NEC,Other emphysema
ICD_V1581,114,28,37,Hx of past noncompliance,"Personal history of noncompliance with medical treatment, presenting hazards to health"
ICD_4538,113,18,20,,
ICD_7746,112,20,20,Fetal/neonatal jaund NOS,Unspecified fetal and neonatal jaundice
ICD_51883,111,28,48,Chronic respiratory fail,Chronic respiratory failure
ICD_4414,110,53,68,Abdom aortic aneurysm,Abdominal aneurysm without mention of rupture
ICD_5770,109,38,45,Acute pancreatitis,Acute pancreatitis
ICD_78720,109,19,27,Dysphagia NOS,"Dysphagia, unspecified"
ICD_4821,109,28,37,Pseudomonal pneumonia,Pneumonia due to Pseudomonas
ICD_43820,107,36,45,Late ef-hemplga side NOS,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
ICD_7140,107,80,122,Rheumatoid arthritis,Rheumatoid arthritis
ICD_25080,106,11,13,DMII oth nt st uncntrld,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
ICD_29680,106,58,84,Bipolar disorder NOS,"Bipolar disorder, unspecified"
ICD_3485,106,20,22,Cerebral edema,Cerebral edema
ICD_V4589,106,19,22,Post-proc states NEC,Other postprocedural status
ICD_0413,106,7,11,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
ICD_45981,105,37,48,Venous insufficiency NOS,"Venous (peripheral) insufficiency, unspecified"
ICD_V1052,105,71,106,Hx of kidney malignancy,Personal history of malignant neoplasm of kidney
ICD_78559,105,3,3,Shock w/o trauma NEC,Other shock without mention of trauma
ICD_29181,104,54,111,Alcohol withdrawal,Alcohol withdrawal
ICD_E9320,104,19,30,Adv eff corticosteroids,Adrenal cortical steroids causing adverse effects in therapeutic use
ICD_4373,103,55,73,Nonrupt cerebral aneurym,"Cerebral aneurysm, nonruptured"
ICD_2874,103,15,17,,
ICD_515,103,54,70,Postinflam pulm fibrosis,Postinflammatory pulmonary fibrosis
ICD_V8741,103,32,36,Hx antineoplastic chemo,Personal history of antineoplastic chemotherapy
ICD_4111,102,16,16,Intermed coronary synd,Intermediate coronary syndrome
ICD_03849,100,9,10,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms
ICD_2764,99,10,10,Mixed acid-base bal dis,Mixed acid-base balance disorder
ICD_0417,99,13,14,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site
ICD_5939,99,13,15,Renal & ureteral dis NOS,Unspecified disorder of kidney and ureter
ICD_E8859,97,8,8,Fall from slipping NEC,"Fall from other slipping, tripping, or stumbling"
ICD_042,97,80,157,Human immuno virus dis,Human immunodeficiency virus [HIV] disease
ICD_2841,95,26,42,,
ICD_29410,94,38,56,Dementia w/o behav dist,Dementia in conditions classified elsewhere without behavioral disturbance
ICD_78009,93,3,3,Other alter consciousnes,Other alteration of consciousness
ICD_5363,93,58,202,Gastroparesis,Gastroparesis
ICD_44020,93,24,28,Athscl extrm ntv art NOS,"Atherosclerosis of native arteries of the extremities, unspecified"
ICD_2866,93,5,5,Defibrination syndrome,Defibrination syndrome
ICD_9974,93,18,19,,
ICD_41402,92,22,25,Crn ath atlg vn bps grft,Coronary atherosclerosis of autologous vein bypass graft
ICD_E8889,92,13,13,Fall NOS,Unspecified fall
ICD_V1083,92,29,35,Hx-skin malignancy NEC,Personal history of other malignant neoplasm of skin
ICD_70707,91,15,24,"Pressure ulcer, heel","Pressure ulcer, heel"
ICD_5854,91,24,31,Chr kidney dis stage IV,"Chronic kidney disease, Stage IV (severe)"
ICD_5533,91,32,40,Diaphragmatic hernia,Diaphragmatic hernia without mention of obstruction or gangrene
ICD_45621,91,35,48,Esoph varice oth dis NOS,"Esophageal varices in diseases classified elsewhere, without mention of bleeding"
ICD_2536,90,19,21,Neurohypophysis dis NEC,Other disorders of neurohypophysis
ICD_7850,90,8,8,Tachycardia NOS,"Tachycardia, unspecified"
ICD_5680,89,14,16,Peritoneal adhesions,Peritoneal adhesions (postoperative) (postinfection)
ICD_5570,88,5,5,Ac vasc insuff intestine,Acute vascular insufficiency of intestine
ICD_99731,87,11,11,Ventltr assoc pneumonia,Ventilator associated pneumonia
ICD_3320,87,61,107,Paralysis agitans,Paralysis agitans
ICD_V420,86,43,63,Kidney transplant status,Kidney replaced by transplant
ICD_30391,86,35,40,Alcoh dep NEC/NOS-contin,"Other and unspecified alcohol dependence, continuous"
ICD_5761,86,28,34,Cholangitis,Cholangitis
ICD_25050,85,39,69,DMII ophth nt st uncntrl,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
ICD_42820,85,10,10,Systolic hrt failure NOS,"Systolic heart failure, unspecified"
ICD_34690,84,40,63,Migrne unsp wo ntrc mgrn,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
ICD_4139,84,15,15,Angina pectoris NEC/NOS,Other and unspecified angina pectoris
ICD_2867,84,6,7,Acq coagul factor defic,Acquired coagulation factor deficiency
ICD_5780,84,6,7,Hematemesis,Hematemesis
ICD_6822,83,12,12,Cellulitis of trunk,Cellulitis and abscess of trunk
ICD_03842,83,8,10,E coli septicemia,Septicemia due to escherichia coli [E. coli]
ICD_70715,83,23,25,Ulcer other part of foot,Ulcer of other part of foot
ICD_7904,82,4,4,Elev transaminase/ldh,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
ICD_4210,82,33,39,Ac/subac bact endocard,Acute and subacute bacterial endocarditis
ICD_41072,82,9,10,"Subendo infarct, subseq","Subendocardial infarction, subsequent episode of care"
ICD_42843,82,14,19,Ac/chr syst/dia hrt fail,Acute on chronic combined systolic and diastolic heart failure
ICD_4011,81,5,6,Benign hypertension,Benign essential hypertension
ICD_7242,80,19,22,Lumbago,Lumbago
ICD_25013,80,46,119,DMI ketoacd uncontrold,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
ICD_1122,80,4,4,Candidias urogenital NEC,Candidiasis of other urogenital sites
ICD_5121,79,3,3,Iatrogenic pneumothorax,Iatrogenic pneumothorax
ICD_3310,79,41,61,Alzheimer's disease,Alzheimer's disease
ICD_6930,79,8,8,Drug dermatitis NOS,Dermatitis due to drugs and medicines taken internally
ICD_44024,78,20,21,Ath ext ntv art gngrene,Atherosclerosis of native arteries of the extremities with gangrene
ICD_V4975,78,36,80,Status amput below knee,Below knee amputation status
ICD_5771,78,37,64,Chronic pancreatitis,Chronic pancreatitis
ICD_25002,77,12,13,DMII wo cmp uncntrld,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
ICD_3569,77,23,32,Idio periph neurpthy NOS,Unspecified hereditary and idiopathic peripheral neuropathy
ICD_4321,77,21,22,Subdural hemorrhage,Subdural hemorrhage
ICD_28522,77,10,12,Anemia in neoplastic dis,Anemia in neoplastic disease
ICD_30500,77,10,15,Alcohol abuse-unspec,"Alcohol abuse, unspecified"
ICD_19889,77,23,24,Secondary malig neo NEC,Secondary malignant neoplasm of other specified sites
ICD_99931,77,8,9,Oth/uns inf-cen ven cath,Other and unspecified infection due to central venous catheter
ICD_0380,76,5,5,Streptococcal septicemia,Streptococcal septicemia
ICD_43411,75,4,4,Crbl emblsm w infrct,Cerebral embolism with cerebral infarction
ICD_2753,75,2,2,Dis phosphorus metabol,Disorders of phosphorus metabolism
ICD_3484,75,6,7,Compression of brain,Compression of brain
ICD_V1082,75,50,67,Hx-malig skin melanoma,Personal history of malignant melanoma of skin
ICD_V442,75,23,34,Ileostomy status,Ileostomy status
ICD_3481,75,16,25,Anoxic brain damage,Anoxic brain damage
ICD_30390,74,19,22,Alcoh dep NEC/NOS-unspec,"Other and unspecified alcohol dependence, unspecified"
ICD_4239,74,13,13,Pericardial disease NOS,Unspecified disease of pericardium
ICD_E8498,74,12,26,Accident in place NEC,Accidents occurring in other specified places
ICD_70714,74,19,27,Ulcer of heel & midfoot,Ulcer of heel and midfoot
ICD_1628,74,26,32,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung
ICD_V1588,72,12,13,Personal history of fall,History of fall
ICD_70705,72,9,11,"Pressure ulcer, buttock","Pressure ulcer, buttock"
ICD_7895,72,22,27,,
ICD_42781,71,10,13,Sinoatrial node dysfunct,Sinoatrial node dysfunction
ICD_2766,70,7,9,,
ICD_5724,70,19,21,Hepatorenal syndrome,Hepatorenal syndrome
ICD_7863,70,10,12,,
ICD_99682,70,31,51,Compl liver transplant,Complications of transplanted liver
ICD_V0980,69,3,4,Inf mcr rst ot drg nt ml,Infection with microorganisms without mention of resistance to multiple drugs
ICD_73390,69,22,27,Bone & cartilage dis NOS,"Disorder of bone and cartilage, unspecified"
ICD_39891,69,21,23,Rheumatic heart failure,Rheumatic heart failure (congestive)
ICD_V427,69,22,45,Liver transplant status,Liver replaced by transplant
ICD_25061,68,41,82,DMI neuro nt st uncntrld,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
ICD_7994,68,7,8,Cachexia,Cachexia
ICD_99672,68,7,7,Comp-oth cardiac device,"Other complications due to other cardiac device, implant, and graft"
ICD_42741,68,4,4,Ventricular fibrillation,Ventricular fibrillation
ICD_42831,68,2,2,Ac diastolic hrt failure,Acute diastolic heart failure
ICD_V1204,68,14,22,Hx Methicln resist Staph,Personal history of Methicillin resistant Staphylococcus aureus
ICD_43811,67,24,30,Late eff CV dis-aphasia,"Late effects of cerebrovascular disease, aphasia"
ICD_V08,67,51,72,Asymp hiv infectn status,Asymptomatic human immunodeficiency virus [HIV] infection status
ICD_78057,67,23,30,Sleep apnea NOS,Unspecified sleep apnea
ICD_43491,67,3,3,Crbl art ocl NOS w infrc,"Cerebral artery occlusion, unspecified with cerebral infarction"
ICD_7070,67,16,25,,
ICD_V707,66,2,4,Exam-clincal trial,Examination of participant in clinical trial
ICD_27541,66,2,2,Hypocalcemia,Hypocalcemia
ICD_53550,66,10,17,Gstr/ddnts NOS w/o hmrhg,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
ICD_27542,65,4,5,Hypercalcemia,Hypercalcemia
ICD_45341,65,4,4,Ac DVT/emb prox low ext,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
ICD_34831,65,1,1,Metabolic encephalopathy,Metabolic encephalopathy
ICD_7291,65,44,67,Myalgia and myositis NOS,"Myalgia and myositis, unspecified"
ICD_57420,65,8,11,Cholelithiasis NOS,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
ICD_4260,65,9,11,Atriovent block complete,"Atrioventricular block, complete"
ICD_4160,64,16,22,Prim pulm hypertension,Primary pulmonary hypertension
ICD_V1255,64,18,21,Hx pulmonary embolism,Personal history of pulmonary embolism
ICD_7455,64,22,36,Secundum atrial sept def,Ostium secundum type atrial septal defect
ICD_5609,64,3,3,Intestinal obstruct NOS,Unspecified intestinal obstruction
ICD_70709,64,5,5,"Pressure ulcer, site NEC","Pressure ulcer, other site"
ICD_3314,63,23,25,Obstructiv hydrocephalus,Obstructive hydrocephalus
ICD_56722,63,13,15,Peritoneal abscess,Peritoneal abscess
ICD_V173,62,9,9,Fam hx-ischem heart dis,Family history of ischemic heart disease
ICD_04112,62,5,5,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
ICD_53789,62,22,36,Gastroduodenal dis NEC,Other specified disorders of stomach and duodenum
ICD_9975,62,4,5,Surg compl-urinary tract,"Urinary complications, not elsewhere classified"
ICD_78060,61,2,2,Fever NOS,"Fever, unspecified"
ICD_4412,61,29,31,Thoracic aortic aneurysm,Thoracic aneurysm without mention of rupture
ICD_99832,60,4,6,Disrup-external op wound,Disruption of external operation (surgical) wound
ICD_V443,60,18,24,Colostomy status,Colostomy status
ICD_591,60,14,17,Hydronephrosis,Hydronephrosis
ICD_V4611,60,22,30,Respirator depend status,"Dependence on respirator, status"
ICD_30301,60,30,58,Ac alcohol intox-contin,"Acute alcoholic intoxication in alcoholism, continuous"
ICD_V1051,60,33,46,Hx of bladder malignancy,Personal history of malignant neoplasm of bladder
ICD_30393,59,17,20,Alcoh dep NEC/NOS-remiss,"Other and unspecified alcohol dependence, in remission"
ICD_5762,59,13,14,Obstruction of bile duct,Obstruction of bile duct
ICD_42821,59,5,5,Ac systolic hrt failure,Acute systolic heart failure
ICD_2848,59,10,13,,
ICD_33394,59,29,43,Restless legs syndrome,Restless legs syndrome (RLS)
ICD_1976,59,17,19,Sec mal neo peritoneum,Secondary malignant neoplasm of retroperitoneum and peritoneum
ICD_1550,58,35,38,"Mal neo liver, primary","Malignant neoplasm of liver, primary"
ICD_E8790,58,7,7,Abn react-cardiac cath,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
ICD_56409,58,10,13,Constipation NEC,Other constipation
ICD_V4579,58,7,8,Acq absence of organ NEC,Other acquired absence of organ
